lng,lat,Borough,ZipCode,BuildingNumber,StreetName,FiscalYear,PlantingSpaceID,CommunityBoard,PlantingSeason,CityCouncil,TreeID,WOId,WOStatus,CompletedDate
-73.90320165,40.83220053,Bronx,10456,585,EAST 169 STREET,0,8668134,203,6/30/24,16,13927957,20147533,Completed,5/24/23 0:00
-74.02814289,40.62921415,Brooklyn,11209,313,78 STREET,0,591706,310,6/30/24,43,12164340,4887397,Completed,12/6/21 0:00
-74.00840803,40.63001274,Brooklyn,11219,6502,10 AVENUE,0,7381440,310,6/30/24,38,12164799,11537859,Completed,12/6/21 0:00
-73.99187301,40.62763026,Brooklyn,11219,1515,57 STREET,0,4289309,312,6/30/24,44,12167432,13987023,Completed,12/6/21 0:00
-74.00278706,40.74306825,Manhattan,10011,350,WEST 18 STREET,0,717395,104,6/30/24,3,583596,15947780,Not Completed,
-73.86542023,40.86671139,Bronx,10467,2733,HOLLAND AVENUE,0,2445111,211,6/30/24,15,2243449,22301288,Completed,5/29/24 0:00
-73.86541756,40.8667959,Bronx,10467,2737,HOLLAND AVENUE,0,2445112,211,6/30/24,15,2243450,22301293,Completed,5/28/24 0:00
-74.11664939,40.63455406,Staten Island,10310,1025,CASTLETON AVENUE,0,2833524,501,12/31/24,49,14784708,21621888,Completed,1/24/24 0:00
-74.12436181,40.63402912,Staten Island,10310,1255,CASTLETON AVENUE,0,1603408,501,12/31/24,49,14784709,21351718,Completed,1/24/24 0:00
-74.12579669,40.63525226,Staten Island,10310,70,DE GROOT PLACE ,0,10981071,501,12/31/24,49,14784710,21351746,Completed,1/24/24 0:00
-74.12072338,40.62998766,Staten Island,10310,661,DELAFIELD AVENUE ,0,11003178,501,12/31/24,49,14784711,21403214,Completed,1/24/24 0:00
-74.12726317,40.62795499,Staten Island,10310,860,DELAFIELD AVENUE,0,10972002,501,12/31/24,49,14784712,21335727,Completed,1/24/24 0:00
-74.1276889,40.62799239,Staten Island,10310,869,DELAFIELD AVENUE,0,2827577,501,12/31/24,49,14784713,21335721,Completed,1/24/24 0:00
-74.12433916,40.63497116,Staten Island,10310,116,DONGAN STREET ,0,10981075,501,12/31/24,49,14784714,21351729,Completed,1/24/24 0:00
-74.12431325,40.63392123,Staten Island,10310,1250,CASTLETON AVENUE ,0,10981090,501,12/31/24,49,14785070,21351732,Completed,1/24/24 0:00
-74.12049031,40.63603414,Staten Island,10310,129,ALASKA STREET ,0,11003192,501,12/31/24,49,14784704,21403223,Completed,1/24/24 0:00
-74.12042302,40.63562861,Staten Island,10310,143,ALASKA STREET ,0,11003197,501,12/31/24,49,14784705,21403206,Completed,1/24/24 0:00
-74.12534362,40.63484111,Staten Island,10310,142,BODINE STREET ,0,10981097,501,12/31/24,49,14784706,21351755,Completed,1/24/24 0:00
-74.12533199,40.6347559,Staten Island,10310,148,BODINE STREET ,0,10981098,501,12/31/24,49,14784707,21351723,Completed,1/24/24 0:00
-74.12532042,40.63469779,Staten Island,10310,148,BODINE STREET ,0,10981080,501,12/31/24,49,14785069,21351719,Completed,1/24/24 0:00
-74.12428447,40.63454309,Staten Island,10310,130,DONGAN STREET,0,10981072,501,12/31/24,49,14784715,21351743,Completed,1/24/24 0:00
-74.12425754,40.63436321,Staten Island,10310,134,DONGAN STREET ,0,10981077,501,12/31/24,49,14784716,21351740,Completed,1/24/24 0:00
-74.12412532,40.63338372,Staten Island,10310,168,DONGAN STREET ,0,10981089,501,12/31/24,49,14784717,21351724,Completed,1/24/24 0:00
-74.12399086,40.63326339,Staten Island,10310,171,DONGAN STREET,0,10981099,501,12/31/24,49,14784718,21351739,Completed,1/24/24 0:00
-74.1286774,40.62887315,Staten Island,10310,129,DUBOIS AVENUE,0,10971993,501,12/31/24,49,14784719,21335715,Completed,1/24/24 0:00
-74.12852344,40.62815443,Staten Island,10310,151,DUBOIS AVENUE,0,10971995,501,12/31/24,49,14784720,21335716,Completed,1/24/24 0:00
-74.12634969,40.62875631,Staten Island,10310,54,FLOYD STREET,0,2218601,501,12/31/24,49,14784721,21335717,Completed,1/24/24 0:00
-74.12723638,40.62998918,Staten Island,10310,45,GREENLEAF AVENUE,0,2827217,501,12/31/24,49,14784722,21335725,Completed,1/24/24 0:00
-74.12713526,40.6293841,Staten Island,10310,61,GREENLEAF AVENUE,0,2827219,501,12/31/24,49,14784723,21335730,Completed,1/24/24 0:00
-74.11797755,40.63680408,Staten Island,10310,773,HENDERSON AVENUE ,0,11003193,501,12/31/24,49,14784724,21403197,Completed,1/24/24 0:00
-74.11796678,40.63692694,Staten Island,10310,773,HENDERSON AVENUE ,0,11003182,501,12/31/24,49,14784725,21403212,Completed,1/24/24 0:00
-74.12995971,40.62745629,Staten Island,10310,106,LLEWELLYN PLACE,0,307902,501,12/31/24,49,14784726,21333387,Completed,1/24/24 0:00
-74.12995282,40.62753016,Staten Island,10310,106,LLEWELLYN PLACE,0,307903,501,12/31/24,49,14784727,21333382,Completed,1/24/24 0:00
-74.12994592,40.62759748,Staten Island,10310,106,LLEWELLYN PLACE,0,307904,501,12/31/24,49,14784728,21333388,Completed,1/24/24 0:00
-74.12493101,40.62924209,Staten Island,10310,71,RAYMOND PLACE,0,2827343,501,12/31/24,49,14784729,21351721,Completed,1/24/24 0:00
-74.12136598,40.63066545,Staten Island,10310,129,ROE STREET ,0,11003202,501,12/31/24,49,14784730,21403194,Completed,1/24/24 0:00
-74.12309639,40.63476886,Staten Island,10310,162,TAYLOR STREET ,0,10981081,501,12/31/24,49,14784731,21351728,Completed,1/24/24 0:00
-74.12291773,40.63340441,Staten Island,10310,214,TAYLOR STREET,0,11003180,501,12/31/24,49,14784732,21403221,Completed,1/24/24 0:00
-74.0007193,40.68127216,Brooklyn,11231,2,1 PL,0,10897965,306,12/31/23,39,14465861,21159387,Completed,11/8/23 0:00
-73.76701297,40.66490719,Queens,11434,145-44,178 PL,0,5011288,413,12/31/24,31,4632015,20055379,Completed,11/14/23 0:00
-74.00688541,40.73428922,Manhattan,10014,122,CHARLES STREET,0,5735972,102,12/31/24,3,5783125,8915337,Not Completed,
-73.80081936,40.69425892,Queens,11435,107-03,150 STREET,0,4957426,412,6/30/24,28,4650066,8591386,Not Completed,
-73.8981182,40.63664067,Brooklyn,11236,9310,AVENUE L,0,2656842,318,12/31/23,46,2430606,21395060,Completed,12/11/23 0:00
-73.94168457,40.81351542,Manhattan,10030,100,WEST 134 STREET,0,2325393,110,6/30/24,9,2128642,18439924,Not Completed,
-73.90115413,40.90660203,Bronx,10471,5848,TYNDALL AVENUE,0,6538101,208,12/31/23,11,14633903,9659943,Completed,12/6/23 0:00
-73.89953272,40.90570859,Bronx,10471,5731,MOSHOLU AVENUE,0,11203688,208,12/31/23,11,14633904,21886166,Completed,12/6/23 0:00
-73.90021055,40.90562428,Bronx,10471,5715,MOSHOLU AVENUE,0,8298015,208,12/31/23,11,14633905,14087460,Completed,12/6/23 0:00
-73.89830872,40.90306752,Bronx,10471,238,WEST 256 STREET,0,7988836,208,12/31/23,11,14633906,13343061,Completed,12/6/23 0:00
-73.89828368,40.90312275,Bronx,10471,238,WEST 256 STREET,0,2770877,208,12/31/23,11,14633907,13343062,Completed,12/6/23 0:00
-73.89856547,40.89575346,Bronx,10471,255,FIELDSTON TERRACE,0,2788958,208,12/31/23,11,14633908,22089400,Completed,12/6/23 0:00
-73.89864464,40.89577294,Bronx,10471,255,FIELDSTON TERRACE,0,2788959,208,12/31/23,11,14633909,18690618,Completed,12/6/23 0:00
-73.91494651,40.88714937,Bronx,10463,660,WEST 236 STREET,0,717333,208,12/31/23,11,14633913,13343972,Completed,12/6/23 0:00
-73.91239444,40.88414031,Bronx,10463,3210,ARLINGTON AVENUE,0,8014349,208,12/31/23,11,14633914,13410988,Completed,12/6/23 0:00
-73.9003769,40.90558308,Bronx,10471,5703,MOSHOLU AVENUE,0,725163,208,12/31/23,11,14634311,13343494,Completed,12/6/23 0:00
-73.97399787,40.57478676,Brooklyn,11224,501,SURF AVENUE,0,2626735,313,12/31/23,47,14633915,21579093,Completed,12/16/23 0:00
-73.89983863,40.63915497,Brooklyn,11236,1320,EAST  94 STREET,0,5202050,318,12/31/23,46,5788742,21305609,Completed,12/11/23 0:00
-73.94425233,40.81064197,Manhattan,10027,109,WEST 129 STREET,0,5813310,110,6/30/24,9,11748332,7495307,Completed,6/4/24 0:00
-74.0014394,40.7316202,Manhattan,10014,2,CORNELIA STREET,0,2341703,102,6/30/24,3,10576845,22530914,Not Completed,
-73.9973898,40.7393697,Manhattan,10011,135,WEST 16 STREET,0,712107,104,6/30/24,3,578308,22530904,Not Completed,
-73.9973898,40.7393697,Manhattan,10011,135,WEST 16 STREET,0,712107,104,6/30/24,3,578308,14559048,Completed,6/1/23 0:00
-73.99758814,40.73946849,Manhattan,10011,141,WEST 16 STREET,0,712108,104,6/30/24,3,12246758,22530903,Not Completed,
-73.94436628,40.80931447,Manhattan,10027,345,LENOX AVENUE,0,2313428,110,6/30/24,9,2116677,13809549,Completed,5/6/24 0:00
-74.00567248,40.62940918,Brooklyn,11219,1074,64 ST,0,7167019,310,6/30/24,38,11591620,11040106,Completed,5/7/21 0:00
-74.00149441,40.62491631,Brooklyn,11219,1324,66 STREET,0,1619087,310,6/30/24,38,11591623,11038495,Completed,5/4/21 0:00
-73.90371686,40.81516035,Bronx,10455,655,PROSPECT AVENUE,0,2783359,201,6/30/24,8,2553291,19626283,Completed,5/18/23 0:00
-74.00249092,40.73392925,Manhattan,10014,113,7 AVENUE SOUTH,0,2346955,102,12/31/23,3,2150204,14526890,Not Completed,
-73.94338891,40.81026656,Manhattan,10027,380,LENOX AVENUE,0,2326033,110,6/30/24,9,5270557,4152572,Not Completed,
-73.99021052,40.77414975,Manhattan,10069,425,FREEDOM PL S,0,9060782,107,6/30/24,6,13629536,16204874,Completed,3/2/23 0:00
-73.99008325,40.77420949,Manhattan,10069,425,FREEDOM PL S,0,9060778,107,6/30/24,6,13629537,16204875,Completed,3/2/23 0:00
-73.98665922,40.77094327,Manhattan,10023,175,WEST 60 STREET,0,8228104,107,6/30/24,3,13629898,13914865,Not Completed,
-74.00705256,40.72964154,Manhattan,10014,421,HUDSON STREET,0,2326817,102,6/30/24,3,4846534,13688812,Completed,6/20/23 0:00
-74.00754337,40.73239934,Manhattan,10014,657,GREENWICH STREET,0,2333682,102,6/30/24,3,2136931,13688817,Not Completed,
-73.86684607,40.89975081,Bronx,10470,315,EAST 238 STREET,0,329204,212,6/30/24,11,5452831,8614393,Not Completed,
-73.86611912,40.89973601,Bronx,10470,338,EAST 238 STREET,0,2791209,212,6/30/24,11,2561141,8614395,Completed,12/23/21 0:00
-73.84891544,40.72465332,Queens,11375,104-20,68 DRIVE,0,2723940,406,6/30/24,29,12157122,14822525,Completed,11/30/21 0:00
-74.00798085,40.73489154,Manhattan,10014,705,WASHINGTON STREET,0,2335115,102,6/30/24,3,11704666,10045249,Not Completed,
-74.00723547,40.63035834,Brooklyn,11219,6401,10 AVENUE,0,7381443,310,6/30/24,38,11746370,11538298,Not Completed,
-73.99060567,40.76614435,Manhattan,10019,766,10 AVENUE,0,2335767,104,12/31/23,3,2139016,16200422,Not Completed,
-73.99460154,40.62909065,Brooklyn,11219,5701,14 AVENUE,0,457710,312,6/30/24,44,5913178,15453194,Not Completed,
-73.99197188,40.76726802,Manhattan,10019,553,WEST 53 STREET,0,294948,104,6/30/24,3,5251334,16200426,Completed,2/7/23 0:00
-73.99202653,40.7672908,Manhattan,10019,553,WEST 53 STREET,0,704552,104,6/30/24,3,5251333,16200423,Completed,2/7/23 0:00
-73.99218653,40.76735798,Manhattan,10019,553,WEST  53 STREET,0,294950,104,6/30/24,3,5243344,16200425,Completed,2/7/23 0:00
-73.9922492,40.76738479,Manhattan,10019,553,WEST  53 STREET,0,294951,104,6/30/24,3,5246940,16200420,Completed,2/7/23 0:00
-73.8473927,40.82196572,Bronx,10473,2228,HOMER AVENUE,0,3948859,209,6/30/24,18,3662147,19014192,Completed,12/28/22 0:00
-73.9434232,40.82766213,Manhattan,10031,415,WEST 150 STREET,0,724737,109,6/30/24,9,590938,8809238,Completed,4/9/24 0:00
-73.9434232,40.82766213,Manhattan,10031,415,WEST 150 STREET,0,724737,109,6/30/24,9,590938,14155390,Completed,4/9/24 0:00
-73.94546466,40.82580405,Manhattan,10031,388,CONVENT AVENUE,0,2313933,109,6/30/24,7,2117182,18222412,Not Completed,
-73.93859873,40.81123603,Manhattan,10037,2175,5 AVENUE,0,2329109,111,6/30/24,9,2132358,13561208,Completed,6/14/23 0:00
-73.93940737,40.82504637,Manhattan,10039,248,WEST 149 STREET,0,2310495,110,6/30/24,9,2113744,22532633,Not Completed,
-73.93947431,40.82507464,Manhattan,10039,248,WEST 149 STREET,0,2310496,110,6/30/24,9,6189107,22532632,Not Completed,
-73.93927979,40.82499248,Manhattan,10039,244,WEST 149 STREET,0,2310493,110,6/30/24,9,2113742,22532821,Not Completed,
-73.93935368,40.82502369,Manhattan,10039,244,WEST 149 STREET,0,2310494,110,6/30/24,9,2113743,22532820,Not Completed,
-73.82930902,40.70777695,Queens,11415,84-51,BEVERLY ROAD,0,5451299,409,12/31/24,29,5780917,18240330,Completed,11/25/22 0:00
-73.8354873,40.70386151,Queens,11418,83-085,116 ST,0,10057673,409,12/31/24,29,13393383,19036780,Completed,11/25/22 0:00
-73.93768167,40.75492259,Queens,11101,24-02,39 AVENUE,0,3941038,401,12/31/24,26,3658064,9991569,Completed,12/14/22 0:00
-73.9868172,40.67455434,Brooklyn,11215,222,1 STREET,0,2764220,306,6/30/24,39,13397149,18567573,Completed,12/1/22 0:00
-73.95311803,40.8227259,Manhattan,10031,,Broadway Malls,0,2312275,109,6/30/24,7,2115524,7635138,Completed,4/30/24 0:00
-73.89736151,40.71349948,Queens,11379,62-037,64 STREET,0,5014340,405,6/30/24,30,4653718,21850778,Completed,5/30/24 0:00
-73.94075404,40.80861714,Manhattan,10035,2084,5 AVENUE,0,273516,110,6/30/24,9,11724789,632603,Completed,7/3/24 0:00
-73.99404478,40.72447792,Manhattan,10012,284,MOTT STREET,0,2316708,102,6/30/24,1,6394411,15348667,Not Completed,
-73.83698139,40.86303381,Bronx,10469,2545,GUNTHER AVENUE,0,2780146,211,6/30/24,13,2550078,15844045,Not Completed,
-73.98145134,40.66001556,Brooklyn,11215,120,WINDSOR PLACE,0,8444996,307,6/30/24,39,12167499,14493553,Completed,12/2/21 0:00
-73.98186871,40.66032496,Brooklyn,11215,103,WINDSOR PLACE,0,4050096,307,6/30/24,39,12167858,14493556,Completed,12/2/21 0:00
-73.79824446,40.73674234,Queens,11365,171-001,65 Avenue,0,8592849,408,12/31/24,24,12167548,14953464,Completed,12/3/21 0:00
-73.86516896,40.87040127,Bronx,10467,3022,HOLLAND AVENUE,0,4033944,212,6/30/24,15,3726857,10270199,Not Completed,
-73.86517887,40.87018602,Bronx,10467,3014,HOLLAND AVENUE ,0,4016057,212,6/30/24,15,3736104,10270201,Not Completed,
-73.86517254,40.87029179,Bronx,10467,3018,HOLLAND AVENUE,0,4038408,212,6/30/24,15,3746390,10270200,Not Completed,
-73.86516127,40.87082835,Bronx,10467,3042,HOLLAND AVENUE,0,323562,212,6/30/24,15,6484899,10270197,Not Completed,
-74.00339706,40.7335661,Manhattan,10014,77,CHRISTOPHER STREET,0,238850,102,12/31/23,3,5781968,14528925,Not Completed,
-73.94778393,40.78864217,Manhattan,10029,175,EAST 101 STREET,0,2347965,111,6/30/24,8,2151214,7201914,Completed,6/14/23 0:00
-73.78027807,40.59529068,Queens,11691,49-001,BEACH CHANNEL DRIVE,0,9479660,414,12/31/24,31,12838108,17466687,Completed,5/12/22 0:00
-73.89885467,40.85779442,Bronx,10458,2325,RYER AVENUE,0,10123866,205,6/30/24,15,13398132,19183959,Completed,12/2/22 0:00
